disease_id,disease_name,primary_specialty,secondary_specialties,matched_organ_system_scores,primary_specialty_score,total_matched_phenotype_scores,routing_confidence,clinical_genetics_referral,mapping_method,source_hpoa_version,hpo_annotation_source_url,specialty_taxonomy_reference_url,clinical_review_required
OMIM:615873,Helsmoortel-van der Aa syndrome,Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:28; skeletal_system:14; eye:7; development_and_growth:7; cardiovascular_system:6; digestive_system:6; genitourinary_system:4; integument:3; ear:3; immune_connective_tissue:2; endocrine_metabolic_system:2; respiratory_system:1,28,83,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:620987,"Neurodegeneration, infantile-onset, with optic atrophy and brain abnormalities",Neurology,Orthopedics; Clinical Genetics,nervous_system:39; skeletal_system:13; integument:9; ear:6; eye:6; immune_connective_tissue:4; digestive_system:3; respiratory_system:3; development_and_growth:2; cardiovascular_system:1; endocrine_metabolic_system:1; blood_system:1; genitourinary_system:1; neoplasm:1,39,90,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621122,Paul-Chao neurodevelopmental syndrome,Neurology,Orthopedics; Nephrology / Urology; Clinical Genetics,nervous_system:38; skeletal_system:11; genitourinary_system:10; digestive_system:8; eye:8; immune_connective_tissue:7; endocrine_metabolic_system:7; development_and_growth:4; integument:3; respiratory_system:2; ear:1; blood_system:1,38,100,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:616268,Arboleda-Tham syndrome,Orthopedics,Neurology; Ophthalmology; Clinical Genetics,skeletal_system:19; nervous_system:15; eye:12; ear:9; cardiovascular_system:6; immune_connective_tissue:6; digestive_system:6; respiratory_system:5; integument:4; genitourinary_system:3; development_and_growth:3; endocrine_metabolic_system:1,19,89,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621201,"Neurodevelopmental disorder with dysmorphic facies, brain anomalies, and seizures",Neurology,Clinical Genetics,nervous_system:44; skeletal_system:10; integument:9; eye:4; digestive_system:3; ear:2; blood_system:2; development_and_growth:2; endocrine_metabolic_system:1,44,77,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:620908,Arterial tortuosity-bone fragility syndrome,Cardiology,Orthopedics; Ophthalmology; Clinical Genetics,cardiovascular_system:23; skeletal_system:15; eye:13; integument:12; nervous_system:10; genitourinary_system:6; immune_connective_tissue:5; respiratory_system:5; development_and_growth:4; blood_system:3; ear:2; digestive_system:2,23,100,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:216340,Yunis-Varon syndrome,Orthopedics,Neurology; Dermatology; Clinical Genetics,skeletal_system:40; nervous_system:11; integument:10; development_and_growth:9; ear:7; cardiovascular_system:6; eye:4; genitourinary_system:3; digestive_system:2; respiratory_system:2; immune_connective_tissue:1; endocrine_metabolic_system:1; blood_system:1,40,97,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621192,Craniofaciocardiohepatic syndrome,Orthopedics,Cardiology; Neurology; Clinical Genetics,skeletal_system:14; cardiovascular_system:13; nervous_system:12; digestive_system:10; immune_connective_tissue:8; ear:8; eye:8; blood_system:6; genitourinary_system:5; respiratory_system:4; integument:3; development_and_growth:3; endocrine_metabolic_system:2,14,96,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:194050,Williams-Beuren syndrome,Neurology,Cardiology; Nephrology / Urology; Clinical Genetics,nervous_system:17; cardiovascular_system:15; genitourinary_system:13; digestive_system:10; skeletal_system:10; endocrine_metabolic_system:7; immune_connective_tissue:6; eye:6; integument:5; development_and_growth:4; ear:3; respiratory_system:1,17,97,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:214100,Peroxisome biogenesis disorder 1A (Zellweger),Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:22; skeletal_system:13; eye:10; endocrine_metabolic_system:8; digestive_system:7; genitourinary_system:7; integument:5; ear:5; respiratory_system:5; cardiovascular_system:4; development_and_growth:3; immune_connective_tissue:2,22,91,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:264090,Wiedemann-Rautenstrauch syndrome,Orthopedics,Dermatology; Neurology; Clinical Genetics,skeletal_system:23; integument:15; nervous_system:10; immune_connective_tissue:7; eye:7; ear:4; development_and_growth:4; cardiovascular_system:3; endocrine_metabolic_system:3; genitourinary_system:3; digestive_system:2; respiratory_system:2,23,83,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:607872,Chromosome 1p36 deletion syndrome,Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:24; skeletal_system:18; eye:11; cardiovascular_system:10; ear:8; digestive_system:5; genitourinary_system:4; integument:3; immune_connective_tissue:2; endocrine_metabolic_system:2; development_and_growth:2; respiratory_system:1,24,90,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:614332,Chromosome 2p16.3 deletion syndrome,Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:24; skeletal_system:17; eye:8; development_and_growth:7; cardiovascular_system:5; ear:5; digestive_system:4; integument:3; endocrine_metabolic_system:3; genitourinary_system:3; respiratory_system:3; immune_connective_tissue:2; neoplasm:1,24,85,moderate,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:620771,Jeffries-Lakhani neurodevelopmental syndrome,Neurology,Orthopedics; Ophthalmology; Clinical Genetics,nervous_system:30; skeletal_system:14; eye:11; cardiovascular_system:5; immune_connective_tissue:5; endocrine_metabolic_system:5; development_and_growth:5; digestive_system:4; integument:3; ear:2; blood_system:2; genitourinary_system:2; neoplasm:1,30,89,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
OMIM:621608,Developmental and epileptic encephalopathy 122,Neurology,Clinical Genetics,nervous_system:51; integument:8; skeletal_system:8; ear:4; eye:4; development_and_growth:3; respiratory_system:3; immune_connective_tissue:2; endocrine_metabolic_system:1; blood_system:1,51,85,high,yes,Positive HPO phenotype annotations mapped through HPO is_a organ-system ancestry; primary specialty is the highest-scoring department.,2026-09-02,https://obophenotype.github.io/human-phenotype-ontology/annotations/phenotype_hpoa/,https://www.abms.org/member-boards/specialty-subspecialty-certificates/,yes
